"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","area_basal","n_caule","multicaule","multicaule_l","rel_hd"
"2B",255,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",26.32,73.78,0.52,0.427530579,1,0,"No",0.356736243
"2C",256,"Chrysobalanaceae","Microdesmia","rigida","Microdesmia rigida","Tree",14.25,61.12,0.89,0.29339761,1,0,"No",0.233147906
"2C",257,"Polygonaceae","Triplaris","americana","Triplaris americana","Tree",8.28,17.57,0.49,0.024245626,1,0,"No",0.471257826
"2C",261,"Malvaceae","Ceiba","pentandra","Ceiba pentandra","Tree",20.53,55.83,0.25,0.244807736,1,0,"No",0.367723446
"2C",266,"Rosaceae","Rhaphiolepis","japonica","Rhaphiolepis bibas","Tree",6.12,19.89,0.88,0.031071302,1,0,"No",0.307692308
"2C",267,"Chrysobalanaceae","Microdesmia","rigida","Microdesmia rigida","Tree",8.51,23.11,0.89,0.041945925,1,0,"No",0.368238858
"2C",270,"Euphorbiaceae","Hevea","brasiliensis","Hevea brasiliensis","Tree",17.94,87.47,0.48,0.600908206,1,0,"No",0.205098891
"2C",272,"Hippocrateaceae",NA,NA,NA,"Tree",5.42,19.44,0.62,0.029681265,1,0,"No",0.278806584
"2C",279,"Arecaceae","Sabal","bermudana","Sabal bermudana","Palm",10.05,32.15,0.54,0.081180521,1,0,"No",0.312597201
"2B",280,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",31,70.47,0.52,0.390030369,1,0,"No",0.439903505
"2B",281,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",21.58,63.66,0.52,0.318290114,1,0,"No",0.338988376
"2B",282,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",13.7,63.6,0.52,0.317690416,1,0,"No",0.215408805
"2B",283,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",16.91,60.16,0.52,0.284253314,1,0,"No",0.281083777
"2B",284,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",12.58,62.2,0.52,0.303857983,1,0,"No",0.202250804
"2B",285,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",20.94,65.32,0.52,0.335106023,1,0,"No",0.320575628
"2B",289,"Fabaceae","Brownea","grandiceps","Brownea grandiceps","Tree",6.64,17.51,1.21,0.024080316,1,0,"No",0.379211879
"2D",338,"Podocarpaceae","Podocarpus","sellowii","Podocarpus sellowii","Tree",4.63,10.57,0.48,0.008774853,1,0,"No",0.438032167
"2E",346,"Fabaceae","Pentaclethra","macroloba","Pentaclethra macroloba","Tree",12.91,13.78,0.65,0.0149138,1,0,"No",0.936865022
"2E",348,"Fabaceae","Inga","marginata","Inga marginata","Tree",10.91,27.44,0.72,0.059136837,1,0,"No",0.397594752
