"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","n_caule","multicaule","multicaule_l","rel_hd","area_basal"
"2H",399,"BIGNONIACEAE","Handroanthus","ochraceus","Handroanthus ochraceus","Tree",11.05,18.3,0.76,1,0,"No",0.603825136612022,0.0263021990940171
"2H",402,"CLUSIACEAE","Garcinia","livingstonei","Garcinia livingstonei","Tree",6,29.44,0.73,1,0,"No",0.203804347826087,0.0680715269631591
"3A",408,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",29.61,71.62,0.52,1,0,"No",0.413432002234013,0.402864050304606
"3A",409,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",28.3,70.03,0.52,1,0,"No",0.404112523204341,0.385175037979211
"3A",410,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,70.16,0.52,1,0,"No",0.427594070695553,0.386606402570058
"3A",413,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",23.01,70.28,0.52,1,0,"No",0.327404667046101,0.387930018386869
"3A",414,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,75.18,0.52,1,0,"No",0.399042298483639,0.443909586642287
"3A",415,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.4,66.78,0.52,1,0,"No",0.335429769392034,0.35025368309053
"3A",416,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,75.82,0.52,1,0,"No",0.395673964653126,0.45149967449336
"3A",417,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",21.9,65.57,0.52,1,0,"No",0.333994204666768,0.337676042012526
"3A",418,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,75.57,0.52,1,0,"No",0.396982929734021,0.448527138794442
"3A",419,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",20.66,63.28,0.52,1,0,"No",0.326485461441214,0.314501573294514
"3A",420,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,76.97,0.52,1,0,"No",0.389762245030531,0.465299787812692
"3A",421,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",20.89,65.73,0.52,1,0,"No",0.317815305035752,0.339326006474191
"3A",422,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,76.65,0.52,1,0,"No",0.391389432485323,0.461438896105136
"3A",423,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",21.46,61.43,0.52,1,0,"No",0.349340713006674,0.296381377377415
"3A",424,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,76.01,0.52,1,0,"No",0.394684909880279,0.453765367553184
"3A",425,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",21,59.65,0.52,1,0,"No",0.352053646269908,0.279454287664314
"3A",426,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",18.07,58.06,0.52,1,0,"No",0.311229762314847,0.264754862031965
"3A",427,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",21.8,60.99,0.52,1,0,"No",0.357435645187736,0.292150845878238
"3A",428,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",30,72.51,0.52,1,0,"No",0.413736036408771,0.412938800223458
"3A",429,"LECYTHIDACEAE","Couroupita","guianensis","Couroupita guianensis","Tree",18.91,58.25,0.47,1,0,"No",0.324635193133047,0.266490505579275
"3A",430,"LECYTHIDACEAE","Couroupita","guianensis","Couroupita guianensis","Tree",14.12,64.04,0.47,1,0,"No",0.220487195502811,0.32210133725096
"3A",431,"LECYTHIDACEAE","Couroupita","guianensis","Couroupita guianensis","Tree",14.43,46.41,0.47,1,0,"No",0.310924369747899,0.169165975790362
"3A",432,"LECYTHIDACEAE","Couroupita","guianensis","Couroupita guianensis","Tree",16.3,50.48,0.47,1,0,"No",0.322900158478605,0.200137547607354
"3A",433,"LECYTHIDACEAE","Couroupita","guianensis","Couroupita guianensis","Tree",17.25,57.68,0.47,1,0,"No",0.299063800277392,0.261300586661563
"3A",435,"ARECACEAE","Carpentaria","acuminata","Carpentaria acuminata","Arborescent",15.4,21.33,0.54,1,0,"No",0.721987810595406,0.0357331738462957
"3A",436,"ARECACEAE","Euterpe","oleracea","Euterpe oleracea","Arborescent",11,70.4907830854503,0.39,36,1,"Yes",0.156048770045094,0.390260459671283
"3A",438,"ARECACEAE","Iriartea","deltoidea","Iriartea deltoidea","Arborescent",10.84,21.01,0.18,1,0,"No",0.515944788196097,0.0346690535826718
"3A",440,"ARECACEAE","Latania","lontaroides","Latania lontaroides","Arborescent",12.66,25.46,0.54,1,0,"No",0.497250589159466,0.0509104200132921
"3A",441,"ARECACEAE","Hyophorbe","lagenicaulis","Hyophorbe lagenicaulis","Arborescent",5.45,22.28,0.54,1,0,"No",0.244614003590664,0.0389870391673432
"3A",442,"ARECACEAE","Carpentaria","acuminata","Carpentaria acuminata","Arborescent",15.89,21.52,0.54,1,0,"No",0.738382899628253,0.0363726057610258
"3A",443,"ARECACEAE","Euterpe","precatoria","Euterpe precatoria","Arborescent",17.61,19.1,0.54,1,0,"No",0.921989528795811,0.0286521103989023
"3A",447,"ARECACEAE","Attalea","butyracea","Attalea butyracea","Arborescent",13.07,55.26,0.33,1,0,"No",0.23651827723489,0.239834492466629
"3A",448,"ARECACEAE","Syagrus","romanzoffiana","Syagrus romanzoffiana","Arborescent",8.07,26.2,0.54,1,0,"No",0.308015267175573,0.0539128715282544
"3A",449,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",16.56,58,0.52,1,0,"No",0.28551724137931,0.264207942166902
"3A",450,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",16.4,51.18,0.52,1,0,"No",0.320437670965221,0.205726598017723
"3A",451,"ARECACEAE","Dictyosperma","album","Dictyosperma album","Arborescent",3.11,15.06,0.54,1,0,"No",0.206507304116866,0.017813113089193
"3A",454,"ARECACEAE","Archontophoenix","cunninghamiana","Archontophoenix cunninghamiana","Arborescent",18.49,27.57,0.83,1,0,"No",0.670656510700036,0.0596984992449401
