"seção","canteiro","tombo","taxon","habito","altura","cap","dap","dia","mês","ano","latitude","longitude","densidade"
"1","C",116,"ARECACEAE Hyophorbe verschaffeltii H.Wendl.","palmeira",8.81,64,20.37,19,4,2021,"-22.9694922081027","-43.223442995571",0.54
"1","C",118,"MORACEAE Ficus religiosa L.","árvore",18.08,294,93.58,19,4,2021,"-22.9695412044438","-43.2232413292489",0.44
"1","C",121,"RUBIACEAE Vangueria madagascariensis J.F.Gmel.","arbusto",4.24,34.9,11.11,19,4,2021,"-22.9694887103074","-43.2231696138704",0.66
"1","C",122,"RUBIACEAE Vangueria madagascariensis J.F.Gmel.","arbusto",5.04,32.8,10.44,19,4,2021,"-22.969450811172","-43.2231737860027",0.66
"1","C",124,"LEGUMINOSAE Clitoria fairchildiana R.A.Howard","árvore",7.54,128.5,40.9,19,4,2021,"-22.9694458487397","-43.2231250304943",0.72
"1","C",127,"LEGUMINOSAE Clitoria fairchildiana R.A.Howard","árvore",19.95,85.5,27.22,19,4,2021,"-22.9694684066296","-43.2230283528396",0.72
"1","C",129,"RUBIACEAE Tocoyena formosa (Cham. & Schltdl.) K.Schum.","arbusto",5.09,69,21.96,19,4,2021,"-22.9694668913771","-43.2229866324847",0.62
"1","C",130,"ARECACEAE Syagrus romanzoffiana (Cham.) Glassman","palmeira",18.54,99.4,31.64,19,4,2021,"-22.9694908592746","-43.222975454952",0.54
"1","C",137,"ARECACEAE Livistona chinensis (Jacq.) R.Br. ex Mart.","palmeira",8.84,88.4,28.14,19,4,2021,"-22.9695623474463","-43.2229032498149",0.71
"1","C",138,"ARECACEAE Livistona chinensis (Jacq.) R.Br. ex Mart.","palmeira",12.21,87,27.69,19,4,2021,"-22.9695579100351","-43.2228819988843",0.71
"1","C",141,"MELIACEAE Guarea","arbusto",6.56,79.5,25.31,19,4,2021,"-22.96949923339","-43.2228412015079",0.56
"1","C",142,"RUBIACEAE Morinda panamensis Seem.","árvore",15.83,144,45.84,19,4,2021,"-22.9694161204129","-43.2228132945141",0.54
"1","C",143,"MYRTACEAE Eugenia itaguahiensis Nied.","árvore",6.12,83.5,26.58,19,4,2021,"-22.969475872978","-43.2228058815477",0.72
"1","C",146,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",18.9,232,73.85,19,4,2021,"-22.9693832338876","-43.2227361834699",0.47
"1","C",147,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",17.39,172,54.75,19,4,2021,"-22.9693860483701","-43.2228140388338",0.47
"1","C",148,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",17.44,195.5,62.23,19,4,2021,"-22.9693975665279","-43.2228893325506",0.47
"1","C",149,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",16.94,216.5,68.91,19,4,2021,"-22.9694047152862","-43.2229719976916",0.47
"1","C",150,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",13.39,150,47.75,19,4,2021,"-22.9694107147238","-43.2230512255312",0.47
"1","C",151,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",16.37,107.6,34.25,19,4,2021,"-22.9694187117216","-43.2231282037231",0.47
"1","C",152,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",15.58,208.6,66.4,19,4,2021,"-22.9694238893692","-43.2232042142907",0.47
"1","C",153,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",21.75,154,49.02,19,4,2021,"-22.9694330594419","-43.2232835372423",0.47
"1","C",155,"LECYTHIDACEAE Couroupita guianensis Aubl.","árvore",17.53,155.8,49.59,19,4,2021,"-22.9694485707171","-43.2234395675171",0.47
"1","D",156,"LEGUMINOSAE Clitoria fairchildiana R.A.Howard","árvore",9.07,110.4,35.14,26,4,2021,"-22.9696340110313","-43.2229092101746",0.72
"1","D",157,"LEGUMINOSAE Adenanthera pavonina L.","árvore",14.49,117.8,37.5,26,4,2021,"-22.9696572459737","-43.2228869317394",0.7
"1","D",158,"CHRYSOBALANACEAE","árvore",13.01,141,44.88,26,4,2021,"-22.9696733156768","-43.2229034469598",0.89
"1","D",159,"LEGUMINOSAE Tetrapleura tetraptera (Schumach. & Thonn.) Taub.","árvore",17.01,187.4,59.65,26,4,2021,"-22.9696478671487","-43.2229388200529",0.52
"1","D",161,"LEGUMINOSAE Adenanthera pavonina L.","árvore",15.4,148.6,47.3,26,4,2021,"-22.9696383345231","-43.22290047153",0.7
"1","D",162,"LEGUMINOSAE Parapiptadenia pterosperma (Benth.) Brenan","árvore",14.78,109.3,34.79,26,4,2021,"-22.9697020519723","-43.2229325721915",0.89
"1","D",163,"LEGUMINOSAE Hymenaea verrucosa Gaertn.","árvore",16.18,115.4,36.73,26,4,2021,"-22.9697354483587","-43.2229415953316",0.73
"1","D",164,"LEGUMINOSAE Pterogyne nitens Tul.","árvore",15.19,61.3,19.51,26,4,2021,"-22.9697666847338","-43.222952880018",0.66
"1","D",165,"LEGUMINOSAE Cenostigma pluviosum (DC.) Gagnon & G.P.Lewis","árvore",21.72,164.2,52.27,26,4,2021,"-22.9698534864185","-43.2229739219938",0.91
"1","D",166,"LEGUMINOSAE Swartzia apetala Raddi","árvore",14.22,86,27.37,26,4,2021,"-22.9699106932644","-43.222993166418",0.85
"1","D",167,"CHRYSOBALANACEAE Moquilea tomentosa Benth.","árvore",18.85,329,104.72,26,4,2021,"-22.9700034234635","-43.2230436124658",0.98
"1","D",168,"LEGUMINOSAE Saraca indica L.","árvore",6.23,44,14.01,26,4,2021,"-22.9699342079098","-43.2231026613281",0.8
"1","D",171,"LEGUMINOSAE Senna multijuga (Rich.) H.S.Irwin & Barneby","árvore",22.04,99.5,31.67,26,4,2021,"-22.969878978944","-43.2230165772665",0.57
"1","D",173,"LEGUMINOSAE Senna siamea (Lam.) H.S.Irwin & Barneby","árvore",20.89,199.2,63.41,26,4,2021,"-22.9698360254886","-43.2230330743165",0.65
"1","D",175,"ARECACEAE Roystonea oleracea (Jacq.) O.F.Cook","palmeira",32.97,166,52.84,26,4,2021,"-22.9697568224743","-43.2230091730222",0.52
"1","D",178,"LEGUMINOSAE Peltophorum dubium (Spreng.) Taub.","árvore",20.13,125,39.79,26,4,2021,"-22.969661569918","-43.2229673324091",0.74
"1","D",179,"LEGUMINOSAE Clitoria fairchildiana R.A.Howard","árvore",6.91,45,14.32,26,4,2021,"-22.9695930462017","-43.2230035125122",0.72
"1","D",180,"LEGUMINOSAE Exostyles venusta Schott","arbusto, arvore",16.04,95.5,30.4,26,4,2021,"-22.9696611062333","-43.2230161881899",0.72
"1","D",181,"LEGUMINOSAE","árvore",18.75,71.6,22.79,26,4,2021,"-22.96977407694","-43.2230556516484",0.72
"1","D",182,"LEGUMINOSAE Pterogyne nitens Tul.","árvore",7.04,36.8,11.71,26,4,2021,"-22.9699080713563","-43.2231113023522",0.66
"1","D",182,"LEGUMINOSAE Pterogyne nitens Tul.","árvore",7.04,33.2,10.57,26,4,2021,"-22.9699080713563","-43.2231113023522",0.66
"1","D",183,"LEGUMINOSAE Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","árvore",17.47,154,49.02,26,4,2021,"-22.9698808993597","-43.2231476049803",1.17
"1","D",186,"LEGUMINOSAE Cassia ferruginea (Schrad.) Schrad. ex DC.","árvore",20.44,186.4,59.33,26,4,2021,"-22.9697719925595","-43.2231105751473",0.5
"1","D",187,"LEGUMINOSAE Sindora siamensis Teysm. ex Miq.","árvore",20.89,192.6,61.31,26,4,2021,"-22.9696725753056","-43.2230605286351",0.62
"1","D",189,"LEGUMINOSAE Cassia ferruginea (Schrad.) Schrad. ex DC.","árvore",11.57,35.4,11.27,26,4,2021,"-22.9697387147175","-43.2231209869371",0.5
"1","D",190,"LEGUMINOSAE Platymiscium floribundum Vogel","árvore",11.57,69.2,22.03,26,4,2021,"-22.9697124308721","-43.2231479058537",0.89
"1","D",195,"LEGUMINOSAE Plathymenia reticulata Benth.","árvore",23.73,444,141.33,26,4,2021,"-22.9698221603157","-43.2231954868001",0.52
